"Marital.status","Application.mode","Previous.qualification","Previous.qualification..grade.","Daytime.evening.attendance.","Age.at.enrollment","Gender","Target"
1,17,1,122,1,20,1,"Dropout"
1,15,1,160,1,19,1,"Graduate"
1,1,1,122,1,19,1,"Dropout"
1,17,1,122,1,20,0,"Graduate"
2,39,1,100,0,45,0,"Graduate"
2,39,19,133.1,0,50,1,"Graduate"
1,1,1,142,1,18,0,"Graduate"
1,18,1,119,1,22,1,"Dropout"
1,1,1,137,1,21,0,"Graduate"
1,1,1,138,1,18,0,"Dropout"
1,1,1,139,1,18,0,"Graduate"
1,1,1,136,1,18,0,"Graduate"
1,1,1,133,1,19,0,"Dropout"
1,53,42,110,1,21,0,"Graduate"
1,1,1,149,1,18,0,"Graduate"
1,1,1,127,1,20,0,"Dropout"
1,18,1,137,1,18,0,"Enrolled"
1,17,1,135,1,18,0,"Graduate"
1,1,1,137,1,20,0,"Graduate"
1,1,1,140,1,18,0,"Enrolled"
1,1,1,122,1,21,0,"Graduate"
1,18,1,127,1,20,0,"Enrolled"
1,1,1,142,1,18,0,"Graduate"
1,1,1,125,1,19,0,"Graduate"
1,1,1,126,1,19,0,"Graduate"
1,1,1,151,1,18,0,"Enrolled"
1,17,1,115,1,21,0,"Graduate"
1,1,1,138,1,18,0,"Enrolled"
1,1,1,135,1,20,0,"Graduate"
1,17,1,127,1,19,1,"Enrolled"
1,44,39,150,1,21,1,"Enrolled"
1,51,1,125,1,20,1,"Graduate"
1,1,1,143,1,18,1,"Enrolled"
1,18,1,138,0,19,0,"Graduate"
1,1,1,130,0,34,1,"Graduate"
1,39,1,130,1,37,1,"Dropout"
1,39,10,133.1,1,43,1,"Dropout"
1,43,1,140,1,55,0,"Dropout"
4,39,1,120,0,39,0,"Graduate"
1,44,39,120,1,20,0,"Dropout"
1,1,1,126,1,18,0,"Dropout"
1,1,1,133,1,22,0,"Graduate"
1,1,1,103,1,22,0,"Graduate"
1,17,1,120,1,20,0,"Dropout"
1,39,1,133.1,0,29,0,"Dropout"
1,17,1,154,0,24,0,"Enrolled"
1,17,1,130,1,18,0,"Graduate"
1,17,1,132,1,22,0,"Graduate"
1,44,39,130,0,21,0,"Graduate"
1,1,1,139,1,19,0,"Graduate"
1,39,1,130,1,24,0,"Graduate"
1,1,1,139,1,19,0,"Enrolled"
1,1,1,127,1,20,0,"Enrolled"
1,1,1,167,1,19,0,"Graduate"
1,39,1,130,0,27,0,"Dropout"
1,1,1,130,1,18,0,"Graduate"
2,7,3,130,1,39,0,"Dropout"
1,39,40,129,1,27,0,"Dropout"
1,17,1,141,1,18,0,"Graduate"
1,1,1,125,1,18,0,"Enrolled"
1,1,1,125,1,18,0,"Graduate"
1,44,39,130,1,21,0,"Graduate"
1,17,1,133,1,19,1,"Enrolled"
1,17,1,127,1,19,1,"Enrolled"
1,43,1,116,1,24,1,"Enrolled"
4,42,19,133.1,1,29,1,"Dropout"
1,1,1,139,1,19,1,"Graduate"
1,44,39,130,1,23,1,"Graduate"
1,1,1,125,1,19,1,"Dropout"
1,39,1,160,1,26,1,"Enrolled"
1,17,1,148,1,18,1,"Enrolled"
1,17,1,150,1,24,1,"Graduate"
1,1,1,141,1,19,1,"Dropout"
1,17,1,118,1,18,1,"Dropout"
1,1,1,142,1,18,1,"Graduate"
1,17,1,120,1,18,1,"Dropout"
1,18,1,106,1,21,1,"Dropout"
1,17,1,121,1,19,1,"Graduate"
1,17,1,150,1,22,1,"Graduate"
2,39,1,120,0,33,1,"Graduate"
1,1,1,114,1,20,1,"Dropout"
1,39,2,140,0,35,1,"Dropout"
1,39,4,160,1,24,1,"Dropout"
1,17,1,120,1,18,1,"Enrolled"
2,39,1,130,0,33,0,"Graduate"
1,42,1,160,1,22,0,"Graduate"
1,39,1,120,1,25,0,"Graduate"
1,17,1,124,1,20,1,"Graduate"
1,1,1,143,1,23,1,"Enrolled"
1,43,1,115,1,18,1,"Enrolled"
1,39,1,133.1,1,24,1,"Dropout"
1,17,1,133.1,1,21,0,"Graduate"
1,15,1,133.1,1,26,0,"Dropout"
2,39,10,133.1,1,39,0,"Dropout"
2,39,1,133.1,0,44,0,"Graduate"
1,15,1,130,1,19,1,"Enrolled"
1,1,1,135,1,18,0,"Graduate"
1,1,1,132,1,18,0,"Graduate"
1,1,1,135,1,19,0,"Enrolled"
1,1,1,115,1,19,0,"Dropout"
1,53,42,130,1,21,0,"Dropout"
1,1,1,133.1,1,20,0,"Graduate"
2,39,1,130,0,36,0,"Dropout"
4,39,12,133.1,1,43,0,"Graduate"
1,18,1,123,1,19,0,"Dropout"
1,51,1,130,1,20,0,"Graduate"
1,1,1,122,1,19,0,"Dropout"
1,1,1,113,1,20,0,"Dropout"
1,1,1,111,1,20,0,"Dropout"
1,17,1,133.1,1,20,0,"Enrolled"
1,1,1,142,1,18,0,"Graduate"
1,17,1,123,1,18,0,"Enrolled"
1,1,1,131,1,19,0,"Graduate"
1,1,1,158,1,18,0,"Graduate"
1,17,1,122,1,18,0,"Dropout"
1,43,1,130,1,20,0,"Enrolled"
1,17,1,154,1,20,0,"Enrolled"
1,17,1,120,1,20,0,"Enrolled"
1,1,1,140,1,18,0,"Graduate"
1,1,1,127,1,18,0,"Graduate"
1,17,1,133.1,1,21,0,"Dropout"
1,1,1,120,1,19,0,"Graduate"
1,1,1,137,1,19,0,"Dropout"
1,1,1,131,1,19,0,"Graduate"
1,1,1,130,1,19,0,"Graduate"
1,17,1,122,1,19,0,"Dropout"
1,44,39,160,1,20,0,"Graduate"
1,1,1,146,1,18,0,"Enrolled"
1,17,1,131,1,18,0,"Graduate"
1,17,1,132,1,19,0,"Graduate"
1,1,1,138,1,18,0,"Dropout"
1,17,1,130,1,18,0,"Graduate"
1,1,1,126,1,19,0,"Graduate"
1,17,1,148,1,19,0,"Dropout"
1,43,1,130,1,20,0,"Graduate"
1,1,1,117,1,19,0,"Dropout"
1,17,1,120,1,20,0,"Graduate"
1,1,1,153,1,18,0,"Graduate"
1,1,1,117,1,20,0,"Enrolled"
1,18,1,178,1,18,0,"Graduate"
1,1,1,129,1,19,0,"Graduate"
1,1,1,116,1,19,0,"Graduate"
1,51,1,99,1,22,0,"Enrolled"
1,1,1,135,1,19,0,"Graduate"
1,1,1,141,1,19,0,"Graduate"
1,17,1,132,1,19,0,"Graduate"
1,1,1,132,1,19,0,"Dropout"
1,17,1,113,1,20,0,"Dropout"
1,1,1,134,1,18,0,"Graduate"
1,1,1,136,1,20,0,"Graduate"
1,1,1,136,1,18,0,"Enrolled"
1,1,1,129,1,19,0,"Graduate"
1,17,1,138,1,18,0,"Enrolled"
1,1,1,137,1,18,0,"Graduate"
1,43,1,115,1,21,0,"Dropout"
1,1,1,129,1,19,0,"Dropout"
1,1,1,131,1,18,0,"Graduate"
1,17,1,133,1,18,0,"Graduate"
1,1,1,125,1,20,0,"Graduate"
1,39,1,120,0,24,0,"Graduate"
1,1,1,128,1,19,0,"Dropout"
1,1,1,127,1,18,0,"Graduate"
1,1,1,134,1,18,0,"Graduate"
1,17,1,132,1,21,0,"Dropout"
1,17,1,124,1,19,0,"Graduate"
1,17,1,133.1,1,19,0,"Graduate"
3,39,1,170,1,47,0,"Enrolled"
1,17,1,125,1,19,0,"Graduate"
1,39,3,130,1,29,0,"Graduate"
1,43,1,125,1,21,0,"Dropout"
1,39,1,130,1,28,0,"Enrolled"
1,17,1,133.1,1,20,0,"Graduate"
1,17,1,131,1,19,0,"Graduate"
1,42,1,150,0,26,0,"Graduate"
1,17,1,125,1,20,0,"Dropout"
1,1,1,131,1,18,0,"Enrolled"
1,39,1,130,1,27,0,"Graduate"
1,1,1,123,1,20,0,"Dropout"
1,1,1,141,1,18,0,"Dropout"
1,7,3,140,1,33,0,"Dropout"
1,43,1,140,1,35,0,"Graduate"
1,44,39,140,0,26,0,"Enrolled"
1,39,19,133.1,1,27,0,"Dropout"
1,18,1,131,1,19,0,"Dropout"
1,17,1,143,1,20,0,"Dropout"
1,18,1,132,1,20,0,"Dropout"
1,43,1,143,1,21,0,"Enrolled"
1,17,1,141,1,18,0,"Graduate"
1,39,1,133.1,1,24,0,"Dropout"
1,17,1,148,1,20,0,"Graduate"
1,1,1,125,1,21,0,"Graduate"
1,1,1,120,0,23,0,"Enrolled"
1,39,1,140,1,24,0,"Dropout"
1,51,1,139,1,21,0,"Dropout"
1,1,1,142,1,18,0,"Graduate"
1,39,40,130,0,27,0,"Dropout"
1,18,1,126,1,18,0,"Graduate"
1,7,3,150,1,35,0,"Dropout"
1,1,1,130,1,18,0,"Graduate"
1,39,1,120,1,35,0,"Enrolled"
1,1,1,138,1,19,0,"Graduate"
1,1,1,127,1,20,0,"Graduate"
1,1,1,140,1,18,0,"Graduate"
1,44,39,130,1,21,0,"Graduate"
1,17,1,128,1,18,0,"Graduate"
1,1,1,132,1,18,0,"Graduate"
1,1,1,149,1,18,0,"Graduate"
1,1,1,155,1,18,0,"Graduate"
1,1,1,120,1,19,0,"Graduate"
1,39,19,133.1,1,36,0,"Dropout"
1,1,1,131,1,18,0,"Graduate"
1,1,1,149,1,18,0,"Graduate"
1,43,1,140,1,20,0,"Graduate"
1,39,1,133.1,0,26,0,"Dropout"
1,43,1,122,1,21,0,"Graduate"
1,39,40,130,1,25,0,"Enrolled"
1,18,1,121,1,19,0,"Graduate"
1,39,1,120,0,24,0,"Dropout"
1,39,1,133.1,0,27,0,"Dropout"
1,17,1,121,1,21,0,"Dropout"
1,1,1,133,1,18,0,"Graduate"
2,1,1,134,1,19,0,"Graduate"
1,1,1,115,1,18,0,"Dropout"
1,51,1,127,1,19,0,"Graduate"
1,18,1,135,1,19,0,"Graduate"
2,7,43,140,0,33,0,"Graduate"
2,7,3,130,1,45,0,"Graduate"
1,1,1,135,1,20,0,"Graduate"
1,39,1,140,1,28,0,"Dropout"
1,43,1,120,1,19,0,"Graduate"
1,1,1,140,1,18,0,"Graduate"
1,39,3,133.1,1,38,0,"Dropout"
1,1,1,135,1,19,0,"Graduate"
1,1,1,123,1,21,0,"Graduate"
1,1,1,133.1,1,21,0,"Dropout"
1,1,1,154,1,22,0,"Graduate"
1,1,1,148,1,18,0,"Graduate"
1,17,1,133,1,18,0,"Graduate"
1,1,1,126,1,25,0,"Dropout"
1,39,19,133.1,1,24,0,"Dropout"
1,1,1,125,1,19,0,"Enrolled"
1,16,1,145,1,24,0,"Enrolled"
1,1,1,118,1,20,0,"Graduate"
1,39,1,120,1,25,0,"Dropout"
1,1,1,127,1,20,0,"Graduate"
1,7,3,130,1,23,0,"Graduate"
1,17,1,129,1,19,0,"Graduate"
1,44,39,130,1,29,0,"Dropout"
1,1,1,121,1,21,0,"Graduate"
1,1,1,136,1,18,0,"Graduate"
1,1,1,125,1,19,0,"Enrolled"
1,1,1,131,1,18,0,"Dropout"
1,1,1,122,1,19,0,"Graduate"
1,1,1,127,1,18,0,"Enrolled"
1,17,1,136,1,18,0,"Graduate"
2,39,19,133.1,1,37,0,"Dropout"
1,17,40,127,0,29,0,"Graduate"
1,17,1,116,1,18,0,"Enrolled"
1,1,1,121,1,19,0,"Graduate"
1,43,1,124,1,22,0,"Dropout"
1,1,1,131,1,20,0,"Graduate"
1,39,1,100,0,34,0,"Dropout"
1,43,1,130,1,30,0,"Dropout"
1,1,1,135,1,18,0,"Graduate"
1,1,1,130,1,18,0,"Graduate"
1,1,1,146,1,18,0,"Graduate"
1,17,1,146,1,18,0,"Graduate"
1,1,1,154,1,19,0,"Graduate"
1,1,1,137,1,19,0,"Graduate"
1,1,1,151,1,18,0,"Graduate"
1,44,39,150,1,21,0,"Graduate"
1,1,1,121,1,20,0,"Dropout"
1,17,1,122,1,20,0,"Graduate"
1,1,1,143,1,19,0,"Graduate"
1,1,1,152,1,20,0,"Graduate"
1,17,1,145,1,18,0,"Graduate"
1,42,1,120,1,20,0,"Dropout"
2,7,3,140,1,29,0,"Dropout"
1,1,1,143,1,18,0,"Enrolled"
1,1,1,129,1,20,0,"Graduate"
1,16,1,139,1,22,0,"Graduate"
4,1,1,133.1,0,47,0,"Graduate"
2,51,1,127,0,31,0,"Graduate"
1,1,1,126,1,21,0,"Graduate"
1,1,1,128,0,21,0,"Graduate"
2,39,12,100,1,24,0,"Graduate"
1,17,1,123,1,18,0,"Enrolled"
1,39,15,170,0,32,0,"Graduate"
1,18,1,117,0,19,0,"Graduate"
1,39,1,140,1,24,0,"Graduate"
1,17,1,123,1,19,0,"Graduate"
1,44,39,150,1,19,0,"Graduate"
1,44,39,140,1,24,0,"Enrolled"
1,17,1,123,1,18,0,"Graduate"
1,1,1,130,1,19,0,"Dropout"
2,1,1,137,1,19,0,"Graduate"
1,17,1,126,1,18,0,"Graduate"
1,1,1,125,1,18,0,"Graduate"
1,17,1,112,1,20,0,"Graduate"
1,1,1,141,1,18,0,"Graduate"
1,17,1,135,1,18,0,"Graduate"
1,1,1,117,1,21,0,"Graduate"
1,1,1,160,1,18,0,"Graduate"
1,51,1,136,1,18,0,"Dropout"
1,17,1,143,1,19,0,"Dropout"
1,1,1,119,1,19,0,"Enrolled"
1,17,1,120,1,18,0,"Graduate"
1,39,3,150,1,34,0,"Dropout"
1,1,1,142,1,19,0,"Graduate"
1,44,39,120,1,19,0,"Dropout"
1,51,1,160,1,26,0,"Graduate"
1,17,1,133.1,1,21,0,"Dropout"
1,17,1,142,1,18,0,"Graduate"
1,17,1,121,1,20,0,"Graduate"
1,51,1,135,1,25,0,"Dropout"
1,1,1,153,1,18,0,"Graduate"
1,1,1,140,1,18,0,"Graduate"
1,1,1,152,1,19,0,"Graduate"
1,1,1,120,1,18,0,"Graduate"
1,17,1,160,1,20,0,"Enrolled"
1,7,40,150,1,26,0,"Dropout"
1,42,1,100,1,19,0,"Graduate"
1,1,1,150,1,19,0,"Graduate"
1,43,1,124,1,19,0,"Graduate"
1,5,1,141,1,19,0,"Enrolled"
1,1,1,121,1,18,0,"Graduate"
1,43,6,134,1,19,0,"Graduate"
1,1,1,134,1,18,0,"Graduate"
1,1,1,132,1,18,0,"Enrolled"
1,1,1,135,1,18,0,"Enrolled"
1,1,1,123,1,18,0,"Enrolled"
1,44,39,151,1,26,0,"Dropout"
1,1,1,107,1,20,0,"Graduate"
1,1,1,126,0,19,0,"Graduate"
1,1,1,133,1,18,0,"Graduate"
1,44,39,140,1,19,0,"Graduate"
1,7,40,110,1,40,0,"Graduate"
1,1,1,141,1,18,0,"Graduate"
1,17,1,122,1,19,0,"Graduate"
1,17,1,156,1,18,0,"Graduate"
1,1,1,129,1,19,0,"Enrolled"
1,1,1,188,1,18,0,"Dropout"
2,39,1,120,0,33,0,"Graduate"
1,39,3,130,1,35,0,"Graduate"
1,42,1,130,1,26,0,"Enrolled"
1,1,1,140,1,18,0,"Graduate"
1,43,1,110,1,36,0,"Enrolled"
4,39,1,133.1,0,39,0,"Graduate"
2,39,1,120,1,44,0,"Graduate"
1,1,1,96,0,20,0,"Enrolled"
1,1,1,117,1,24,0,"Dropout"
1,43,1,123,1,20,0,"Graduate"
1,1,1,127,1,19,0,"Dropout"
2,1,1,151,1,18,0,"Graduate"
1,1,1,127,1,22,0,"Dropout"
1,17,1,133,1,18,0,"Graduate"
1,39,19,133.1,1,24,0,"Graduate"
1,39,1,133.1,0,33,0,"Dropout"
1,39,1,133.1,1,30,0,"Enrolled"
1,39,43,160,1,26,0,"Dropout"
1,17,1,140,1,18,0,"Graduate"
1,1,1,146,1,19,0,"Dropout"
1,17,1,112,1,20,0,"Enrolled"
1,53,42,140,1,22,0,"Graduate"
1,1,1,136,1,19,0,"Enrolled"
1,1,1,133.1,1,21,0,"Graduate"
1,1,1,136,1,21,0,"Graduate"
1,17,1,134,1,19,0,"Enrolled"
1,1,1,122,1,19,0,"Graduate"
1,1,1,138,1,18,0,"Dropout"
2,43,1,160,0,50,0,"Graduate"
4,39,1,130,0,31,0,"Enrolled"
1,17,1,161,1,19,0,"Graduate"
4,39,1,140,0,35,0,"Graduate"
2,39,19,133.1,1,31,0,"Dropout"
2,51,19,133.1,0,42,0,"Enrolled"
1,18,1,130,1,34,0,"Dropout"
1,1,1,152,1,18,0,"Graduate"
1,17,1,125,1,18,0,"Enrolled"
1,44,39,140,1,21,0,"Enrolled"
4,39,19,133.1,1,26,0,"Dropout"
1,43,1,170,1,20,0,"Enrolled"
1,1,1,135,1,19,0,"Enrolled"
1,1,1,125,1,19,0,"Graduate"
1,53,42,140,1,20,0,"Graduate"
1,1,1,124,1,19,0,"Graduate"
1,1,1,140,1,18,0,"Graduate"
1,39,3,130,0,28,0,"Graduate"
1,17,1,134,1,22,0,"Enrolled"
1,44,39,160,0,21,0,"Graduate"
1,44,39,140,1,21,0,"Enrolled"
1,39,1,150,1,26,0,"Enrolled"
1,1,1,141,1,18,0,"Dropout"
1,17,1,120,1,20,0,"Dropout"
1,17,1,166,1,18,0,"Graduate"
1,1,1,147,1,19,0,"Graduate"
1,51,1,121,1,20,0,"Graduate"
1,44,39,150,1,22,0,"Graduate"
1,17,1,124,1,18,0,"Dropout"
1,17,1,96,1,19,0,"Dropout"
1,17,1,125,1,18,0,"Enrolled"
1,17,1,136,1,20,0,"Enrolled"
1,1,1,120,1,19,0,"Enrolled"
1,1,1,128,1,19,0,"Enrolled"
1,17,1,142,1,19,0,"Graduate"
1,1,1,135,1,18,0,"Graduate"
1,7,40,120,1,21,0,"Graduate"
1,39,40,140,0,27,0,"Graduate"
1,17,1,135,1,19,0,"Graduate"
4,39,1,133.1,1,25,0,"Dropout"
1,1,1,137,1,18,0,"Graduate"
1,39,3,122,1,24,0,"Graduate"
1,1,1,128,1,20,0,"Graduate"
1,7,40,140,0,26,0,"Graduate"
1,1,1,132,1,20,0,"Graduate"
1,1,1,131,1,18,0,"Graduate"
1,1,1,126,1,19,0,"Graduate"
1,1,1,133.1,1,23,0,"Dropout"
1,1,1,136,1,18,0,"Graduate"
1,1,1,140,1,18,0,"Dropout"
1,1,1,135,1,19,0,"Graduate"
1,42,1,160,0,30,0,"Graduate"
1,44,39,140,1,29,0,"Dropout"
1,1,1,140,1,19,0,"Graduate"
1,17,1,115,1,20,0,"Graduate"
1,1,1,144,1,20,0,"Graduate"
1,1,1,128,1,19,0,"Graduate"
1,17,1,116,1,20,0,"Enrolled"
3,1,1,135,1,21,0,"Dropout"
1,17,1,121,1,19,0,"Graduate"
1,1,1,134,1,18,0,"Graduate"
1,39,1,120,0,27,0,"Graduate"
1,17,1,125,1,19,0,"Graduate"
1,1,1,141,1,19,0,"Dropout"
1,1,1,140,1,19,0,"Graduate"
1,1,1,144,1,18,0,"Graduate"
1,17,1,122,1,20,0,"Enrolled"
1,1,1,130,1,18,0,"Graduate"
1,1,1,133.1,1,19,0,"Dropout"
2,39,19,133.1,1,36,0,"Graduate"
1,43,1,147,1,18,0,"Enrolled"
1,43,1,127,1,18,0,"Enrolled"
1,17,1,136,1,19,0,"Graduate"
1,1,1,127,1,18,0,"Graduate"
1,17,1,123,1,18,0,"Graduate"
1,1,1,128,1,19,0,"Graduate"
1,1,1,128,1,19,0,"Graduate"
1,1,1,140,1,18,0,"Dropout"
1,1,1,121,1,20,0,"Graduate"
1,1,1,122,1,20,0,"Enrolled"
1,18,1,126,1,20,0,"Graduate"
1,1,1,135,1,18,0,"Graduate"
1,1,1,131,1,18,0,"Graduate"
1,17,1,140,1,19,0,"Graduate"
1,1,1,131,1,19,0,"Enrolled"
2,39,1,130,0,44,0,"Graduate"
1,7,3,130,1,32,0,"Dropout"
1,43,1,140,1,22,0,"Dropout"
2,39,1,130,1,36,0,"Graduate"
1,17,1,125,1,18,0,"Graduate"
1,1,1,160,1,20,0,"Graduate"
1,51,1,130,1,20,0,"Graduate"
1,17,1,144,1,19,0,"Graduate"
1,39,19,133.1,1,24,0,"Graduate"
1,17,1,148,1,20,0,"Enrolled"
1,43,1,133.1,0,27,0,"Dropout"
1,1,1,133,1,20,0,"Enrolled"
1,43,1,129,1,23,0,"Graduate"
1,1,1,144,1,18,0,"Graduate"
1,17,1,120,1,18,0,"Graduate"
1,17,1,144,1,20,0,"Graduate"
1,1,1,132,1,20,0,"Graduate"
1,1,1,142,1,23,0,"Dropout"
1,1,1,136,1,20,0,"Graduate"
1,39,9,133.1,1,28,0,"Dropout"
1,1,1,122,1,21,0,"Graduate"
1,1,1,133.1,1,21,0,"Dropout"
1,7,3,140,1,28,0,"Dropout"
1,1,1,117,1,18,0,"Graduate"
1,17,1,128,1,21,0,"Enrolled"
1,1,1,136,1,19,0,"Graduate"
1,18,1,141,1,18,0,"Graduate"
1,1,1,130,1,19,0,"Dropout"
1,44,39,140,1,20,0,"Enrolled"
1,1,1,102,1,20,0,"Graduate"
1,17,1,126,1,18,0,"Graduate"
1,43,1,125,1,20,0,"Dropout"
1,39,1,120,1,31,0,"Dropout"
1,17,1,132,1,19,0,"Graduate"
1,1,1,128,1,19,0,"Graduate"
1,1,1,115,1,23,0,"Graduate"
1,1,1,125,1,19,0,"Graduate"
1,1,1,137,1,20,0,"Graduate"
1,1,1,101,1,22,0,"Enrolled"
1,1,1,126,1,18,0,"Enrolled"
1,7,3,130,1,27,0,"Dropout"
1,39,19,100,1,29,0,"Dropout"
1,17,1,122,1,18,0,"Graduate"
